team,elo_rating
Namibia,1434.8453141633797
Lesotho,1434.707491941088
Mauritania,1434.1198583058995
Rwanda,1432.9141949018615
Malawi,1432.1919523281463
Equatorial Guinea,1431.6291038274692
Manchukuo,1430.3535518953388
Găgăuzia,1429.83559821665
Niue,1427.0180789448032
Ticino,1426.5262866082458
Papua New Guinea,1424.0918604963908
Vanuatu,1423.9386839193307
Palau,1421.090665655865
Saint Barthélemy,1417.6660042608526
Two Sicilies,1417.3653449172682
Marshall Islands,1417.0803614213319
Vatican City,1409.81529620552
Fiji,1406.972336805211
Cuba,1403.3013035136148
Western Sahara,1400.0751355693244
Estonia,1399.135709155519
Orkney,1397.3867690468478
Ambazonia,1392.1992658148888
Azerbaijan,1391.595181325944
Raetia,1391.475717751295
Western Australia,1391.4359966443283
Ethiopia,1390.8927359742827
Tanzania,1389.514253212787
Botswana,1379.2453901443857
Turkmenistan,1375.4499451244376
Malta,1365.6257129372655
Puerto Rico,1365.4274510118996
Cyprus,1364.4180251183298
Burundi,1364.2700039478505
Solomon Islands,1362.4742158398503
Chagos Islands,1359.4926341227765
Barawa,1358.3931502158202
Guinea-Bissau,1353.399449576853
Saint Helena,1348.633415186906
Lithuania,1345.5715722083462
Latvia,1345.1287150271314
Central African Republic,1343.962425408758
Hitra,1343.5452801702093
Saare County,1340.9295832813393
Yemen DPR,1339.4634580305608
Philippines,1328.5628508767713
Sark,1327.9287062383964
Bermuda,1327.7394663279522
Saint Vincent and the Grenadines,1327.094914869192
Micronesia,1323.5582182817336
Vietnam Republic,1322.8202299161362
Congo,1318.4336362926108
Eswatini,1308.719050003311
Yemen,1302.5324086010817
Saint Martin,1294.8034224639734
Wallis Islands and Futuna,1292.9337440410343
Sint Maarten,1292.4145868341313
Moldova,1292.163326549974
Grenada,1289.729322443248
Singapore,1287.785406805807
Saint Pierre and Miquelon,1286.7515678778766
Hong Kong,1284.1520564723733
South Sudan,1280.474585391248
Darfur,1274.7777647696262
Tibet,1266.4217369834414
Belize,1258.2485779175918
Saint Kitts and Nevis,1252.971166317292
Montserrat,1234.0668898527585
Kiribati,1227.7733616110297
Mauritius,1220.9469664920932
Samoa,1219.2640141454833
Falkland Islands,1215.2577274049695
Saint Lucia,1212.8600243287435
Aruba,1210.8682095780932
Chad,1209.3447749905351
Tuvalu,1207.2017858380411
India,1201.3010457665764
Frøya,1195.325246063584
São Tomé and Príncipe,1188.4551952770323
Eritrea,1170.273600800941
Dominica,1156.6337598784864
Afghanistan,1154.0073877574323
Andorra,1137.2832285250395
Bonaire,1128.6162838970833
Bangladesh,1118.165501120595
Myanmar,1114.1093771848914
Barbados,1112.7557963877393
Antigua and Barbuda,1111.5806686983792
Gibraltar,1102.1422632237607
Pakistan,1094.4069851212607
Cook Islands,1088.522275519316
Alderney,1076.968002634362
Nepal,1067.5633921703004
Somalia,1065.1950780889015
Djibouti,1057.2979067046783
Tonga,1055.012650711031
Cambodia,1049.587388242242
Cayman Islands,1032.9820868696634
British Virgin Islands,1017.889866099942
Taiwan,1000.3525667553374
Sri Lanka,998.1492366295067
Seychelles,983.383127854446
Turks and Caicos Islands,980.9838790729586
United States Virgin Islands,976.2450826314209
Liechtenstein,975.1341842262501
Northern Mariana Islands,962.3874833222663
Maldives,961.9389818942525
Mongolia,960.5664304048578
Bahamas,941.5778092837833
Guam,936.5933578512721
American Samoa,932.8822226835233
Laos,912.9951177837835
Anguilla,896.3968700194122
Brunei,885.5885905396497
Timor-Leste,875.6477245681757
Bhutan,862.6910631296976
San Marino,855.0321145291438
Macau,795.6631092569397
